date,restaurant_id,customers,avg_order_value,revenue,food_cost,staff_cost,rent,operating_expenses,net_profit,restaurant_name,location_tier,staff_count,base_rent,efficiency_score,base_rating,day_of_week,month,is_weekend,total_cost,profit_margin,cost_ratio,aov,beverage_ratio,beverage_revenue_adj,food_revenue_adj
2023-01-01,1,356,839.31,298794.36,112474.85,10000.01,22959.53,31148.98,122210.99,Java House CBD 1,CBD,10,688786,0.6375146591845596,3.4,6,1,True,176583.37000000002,40.901371096830616,59.098628903169406,839.31,0.55,160975.89945816688,137818.4605418331
2023-01-01,2,346,735.68,254545.28,106606.59,43396.92,11519.33,28594.63,64427.81,Java House CBD 2,CBD,27,345580,0.7952462562245198,3.1,6,1,True,190117.47,25.31094271321786,74.68905728678214,735.68,0.55,141151.62609596225,113393.65390403775
2023-01-01,3,316,838.91,265095.56,100568.55,41818.3,14066.03,49094.31,59548.37,Java House CBD 3,CBD,16,421981,0.7526776440516811,3.1,6,1,True,205547.19,22.46298278251058,77.53701721748942,838.91,0.55,145873.5411549361,119222.0188450639
2023-01-01,4,184,643.61,118424.24,45065.82,39675.39,11128.27,20200.4,2354.37,Java House Suburb 4,Suburb,30,333848,0.7724707403016083,3.4,6,1,True,116069.88,1.9880811563578535,98.01192728785931,643.61,0.4,47635.804034245535,70788.43596575447
2023-01-01,5,232,584.34,135566.88,49896.55,25819.96,9963.87,25972.91,23913.59,Java House Highway 5,Highway,10,298916,0.902909625916404,4.3,6,1,True,111653.29000000001,17.63969931298854,82.36030068701147,584.34,0.45,63078.04409074541,72488.83590925459
2023-01-01,6,237,600.14,142233.18,46481.49,45116.72,4691.93,26139.25,19803.79,Java House Highway 6,Highway,18,140758,0.6076568810537943,4.5,6,1,True,122429.38999999998,13.923467084122004,86.07653291587799,600.14,0.45,61980.3395541163,80252.84044588369
2023-01-01,7,419,738.91,309603.29,121161.86,13362.46,16639.7,52654.63,105784.63,Java House CBD 7,CBD,12,499191,0.548358188416732,4.6,6,1,True,203818.65000000002,34.167799056657316,65.83219771340286,738.91,0.55,164038.912673226,145564.37732677397
2023-01-01,8,143,666.87,95362.41,36195.09,9178.2,9709.8,12065.18,28214.13,Java House Highway 8,Highway,11,291294,0.7297124398359213,3.2,6,1,True,67148.26999999999,29.58621746241522,70.4137720512726,666.87,0.45,42719.61743697335,52642.792563026655
2023-01-01,9,313,806.04,252290.52,107160.36,16765.31,32628.53,27004.7,68731.62,Java House Airport 9,Airport,12,978856,0.6465891407035464,4.2,6,1,True,183558.90000000002,27.24304504188267,72.75695495811735,806.04,0.58,143719.5436534451,108570.9763465549
2023-01-01,10,154,707.27,108919.58,34075.27,48280.84,5013.57,10233.51,11316.38,Java House Highway 10,Highway,28,150407,0.8522859181074618,3.1,6,1,True,97603.18999999999,10.389665476124678,89.6103253427896,707.27,0.45,50127.904924017916,58791.675075982086
2023-01-01,11,341,663.8,226355.8,72266.06,32389.0,5697.2,34854.93,81148.61,Java House Suburb 11,Suburb,19,170916,0.9276588605075736,4.6,6,1,True,145207.19,35.85002460727757,64.14997539272244,663.8,0.4,94563.73134972803,131792.06865027198
2023-01-01,12,424,804.28,341014.72,123948.86,21989.34,29181.17,51067.51,114827.84,Java House Airport 12,Airport,18,875435,0.8178422221322001,3.7,6,1,True,226186.88,33.672399830716984,66.32760016928302,804.28,0.58,200102.05723845898,140912.662761541
2023-01-01,13,228,528.28,120447.84,41766.19,55813.25,5164.03,19983.35,-2278.98,Java House Highway 13,Highway,21,154921,0.8350875871888467,4.3,6,1,True,122726.82,-1.8920887248787526,101.89208872487876,528.28,0.45,55226.38960877083,65221.45039122917
2023-01-01,14,352,704.92,248131.84,78943.3,36113.08,21097.03,33577.86,78400.57,Java House CBD 14,CBD,29,632911,0.5855693240990485,4.4,6,1,True,169731.27000000002,31.596336044580177,68.40366395541983,704.92,0.55,132392.46338362532,115739.37661637468
2023-01-01,15,285,535.23,152540.55,50800.98,23123.7,8315.7,24589.24,45710.94,Java House Suburb 15,Suburb,24,249471,0.634973913392139,4.8,6,1,True,106829.62000000001,29.966418765370918,70.033587790263,535.2299999999999,0.4,59261.60574844892,93278.94425155106
2023-01-01,16,194,697.3,135276.2,58026.09,19264.77,12364.93,18599.53,27020.87,Java House Suburb 16,Suburb,20,370948,0.8841567887961861,3.1,6,1,True,108255.32,19.9745927221492,80.02539988556745,697.3000000000001,0.4,55925.30205925507,79350.89794074494
2023-01-01,17,338,619.99,209556.62,67026.01,50968.86,17010.83,31864.54,42686.38,Java House CBD 17,CBD,20,510325,0.6338704379878514,3.4,6,1,True,166870.24000000002,20.369855173270114,79.6301448267299,619.99,0.55,112822.5691502654,96734.0508497346
2023-01-01,18,285,668.31,190468.35,80210.9,18918.69,9060.63,19672.22,62605.91,Java House Highway 18,Highway,16,271819,0.7496156297461387,4.7,6,1,True,127862.44,32.86945573897186,67.13054426102815,668.3100000000001,0.45,85703.4364631958,104764.9135368042
2023-01-01,19,467,678.6,316906.2,117272.31,30379.61,22591.53,51070.29,95592.45,Java House Airport 19,Airport,14,677746,0.5698151597627532,4.4,6,1,True,221313.74,30.16427258286521,69.83572426162694,678.6,0.58,178095.4266982807,138810.7733017193
2023-01-01,20,186,503.62,93673.32,33759.23,40750.87,7077.03,17635.77,-5549.57,Java House Highway 20,Highway,28,212311,0.9489114418012384,3.8,6,1,True,99222.90000000001,-5.924387007954879,105.92439768335318,503.62000000000006,0.45,44016.26351395088,49657.05648604913
2023-01-02,1,303,613.26,185817.78,68249.39,16067.83,22959.53,23929.01,54612.02,Java House CBD 1,CBD,10,688786,0.6375146591845596,3.4,0,1,False,131205.76,29.390093886602237,70.60990611339777,613.26,0.55,100109.60136871316,85708.17863128684
2023-01-02,2,267,818.51,218542.17,80089.06,65136.78,11519.33,33580.04,28216.95,Java House CBD 2,CBD,27,345580,0.7952462562245198,3.1,0,1,False,190325.21,12.911444047617904,87.08855137660616,818.5100000000001,0.55,121187.01500196829,97355.15499803172
2023-01-02,3,230,839.8,193154.0,82168.51,41757.22,14066.03,36488.7,18673.53,Java House CBD 3,CBD,16,421981,0.7526776440516811,3.1,0,1,False,174480.46000000002,9.66769002971722,90.33230479306668,839.8,0.55,106286.41976591584,86867.58023408416
2023-01-02,4,176,519.91,91504.16,34116.98,36756.1,11128.27,13877.22,-4374.41,Java House Suburb 4,Suburb,30,333848,0.7724707403016083,3.4,0,1,False,95878.57,-4.7805586106686295,104.78055861066863,519.91,0.4,36807.280621587684,54696.87937841232
2023-01-02,5,210,570.95,119899.5,53690.56,13195.39,9963.87,19627.88,23421.81,Java House Highway 5,Highway,10,298916,0.902909625916404,4.3,0,1,False,96477.7,19.534535173207562,80.46547316711079,570.95,0.45,55788.153769256394,64111.346230743606
2023-01-02,6,213,581.52,123863.76,54945.67,47848.95,4691.93,18885.25,-2508.04,Java House Highway 6,Highway,18,140758,0.6076568810537943,4.5,0,1,False,126371.79999999999,-2.0248376119052094,102.0248376119052,581.52,0.45,53975.57660771957,69888.18339228042
2023-01-02,7,317,603.34,191258.78,65889.83,31311.61,16639.7,30814.89,46602.76,Java House CBD 7,CBD,12,499191,0.548358188416732,4.6,0,1,False,144656.03,24.366337587220833,75.63366764129731,603.34,0.55,101335.75231195943,89923.02768804057
2023-01-02,8,159,659.51,104862.09,32357.8,20947.58,9709.8,16690.48,25156.43,Java House Highway 8,Highway,11,291294,0.7297124398359213,3.2,0,1,False,79705.66,23.990013931631538,76.00998606836848,659.51,0.45,46975.200904019395,57886.8890959806
2023-01-02,9,341,604.08,205991.28,91484.2,11762.45,32628.53,24117.75,45998.35,Java House Airport 9,Airport,12,978856,0.6465891407035464,4.2,0,1,False,159992.93,22.33024135778951,77.66975864221048,604.08,0.58,117344.76887276236,88646.51112723764
2023-01-02,10,146,642.05,93739.3,31428.97,29487.51,5013.57,18694.97,9114.29,Java House Highway 10,Highway,28,150407,0.8522859181074618,3.1,0,1,False,84625.01999999999,9.72301905390802,90.2769916139762,642.0500000000001,0.45,43141.50603632508,50597.79396367492
2023-01-02,11,236,622.68,146952.48,57738.69,30436.33,5697.2,23086.8,29993.46,Java House Suburb 11,Suburb,19,170916,0.9276588605075736,4.6,0,1,False,116959.02,20.41031223154587,79.58968776845413,622.6800000000001,0.4,61391.73301455621,85560.74698544381
2023-01-02,12,312,821.72,256376.64,84768.09,38634.33,29181.17,30560.81,73232.25,Java House Airport 12,Airport,18,875435,0.8178422221322001,3.7,0,1,False,183144.4,28.564322396923526,71.43568150358784,821.72,0.58,150437.7672960387,105938.8727039613
